PtWinner,Score,Odds1,Odds2
1,"0-0,0-0",6/4,8/15
1,"0-0,15-0",11/8,4/7
1,"0-0,30-0",6/5,4/6
2,"0-0,40-0",13/10,8/13
2,"0-0,40-15",11/8,4/7
1,"0-0,40-30",6/4,8/15
1,"1-0,0-0",11/8,4/7
1,"1-0,15-0",13/10,8/13
2,"1-0,30-0",11/10,8/11
2,"1-0,30-15",6/5,4/6
1,"1-0,30-30",13/10,8/13
1,"1-0,40-30",11/10,8/11
1,"2-0,0-0",10/11,10/11
2,"2-0,15-0",10/11,10/11
2,"2-0,15-15",1/1,4/5
1,"2-0,15-30",11/10,8/11
2,"2-0,30-30",1/1,4/5
2,"2-0,30-40",11/10,8/11
1,"2-1,0-0",11/8,4/7
2,"2-1,15-0",6/5,4/6
2,"2-1,15-15",6/4,8/15
2,"2-1,15-30",13/8,1/2
2,"2-1,15-40",13/8,1/2
1,"2-2,0-0",13/8,1/2
2,"2-2,15-0",6/4,8/15
1,"2-2,15-15",13/8,1/2
1,"2-2,30-15",6/4,8/15
2,"2-2,40-15",11/8,4/7
2,"2-2,40-30",6/4,8/15
1,"2-2,40-40",7/4,4/9
1,"2-2,A-40",13/8,1/2
2,"3-2,0-0",11/8,4/7
1,"3-2,0-15",13/8,1/2
2,"3-2,15-15",11/8,4/7
1,"3-2,15-30",6/4,8/15
2,"3-2,30-30",13/10,8/13
1,"3-2,30-40",6/4,8/15
2,"3-2,40-40",13/10,8/13
2,"3-2,40-A",6/4,8/15
1,"3-3,0-0",13/8,1/2
1,"3-3,15-0",11/8,4/7
1,"3-3,30-0",13/10,8/13
2,"3-3,40-0",13/10,8/13
1,"3-3,40-15",11/8,4/7
1,"4-3,0-0",13/10,8/13
2,"4-3,15-0",11/10,8/11
1,"4-3,15-15",6/5,4/6
2,"4-3,30-15",11/10,8/11
2,"4-3,30-30",6/5,4/6
2,"4-3,30-40",13/10,8/13
1,"4-4,0-0",6/4,8/15
2,"4-4,15-0",13/10,8/13
2,"4-4,15-15",6/4,8/15
1,"4-4,15-30",7/4,4/9
1,"4-4,30-30",13/8,1/2
2,"4-4,40-30",13/10,8/13
2,"4-4,40-40",13/8,1/2
1,"4-4,40-A",2/1,2/5
2,"4-4,40-40",13/8,1/2
1,"4-4,40-A",2/1,2/5
2,"4-4,40-40",13/8,1/2
2,"4-4,40-A",2/1,2/5
2,"4-5,0-0",10/3,2/9
2,"4-5,0-15",4/1,1/6
2,"4-5,0-30",9/2,1/7
2,"4-5,0-40",11/2,1/9
1,"4-6,0-0,0-0",11/2,1/9
1,"4-6,0-0,15-0",9/2,1/7
1,"4-6,0-0,30-0",9/2,1/7
1,"4-6,0-0,40-0",4/1,1/6
2,"4-6,1-0,0-0",4/1,1/6
1,"4-6,1-0,0-15",4/1,1/6
2,"4-6,1-0,15-15",4/1,1/6
1,"4-6,1-0,15-30",4/1,1/6
2,"4-6,1-0,30-30",10/3,2/9
1,"4-6,1-0,30-40",7/2,1/5
1,"4-6,1-0,40-40",7/2,1/5
1,"4-6,1-0,A-40",10/3,2/9
2,"4-6,2-0,0-0",5/2,3/10
1,"4-6,2-0,0-15",3/1,1/4
1,"4-6,2-0,15-15",12/5,1/3
1,"4-6,2-0,30-15",11/5,4/11
2,"4-6,2-0,40-15",2/1,2/5
2,"4-6,2-0,40-30",11/5,4/11
1,"4-6,2-0,40-40",12/5,1/3
1,"4-6,2-0,A-40",12/5,1/3
2,"4-6,3-0,0-0",11/5,4/11
2,"4-6,3-0,0-15",5/2,3/10
2,"4-6,3-0,0-30",11/4,2/7
2,"4-6,3-0,0-40",11/4,2/7
2,"4-6,3-1,0-0",11/4,2/7
1,"4-6,3-1,0-15",3/1,1/4
2,"4-6,3-1,15-15",3/1,1/4
1,"4-6,3-1,15-30",10/3,2/9
2,"4-6,3-1,30-30",3/1,1/4
2,"4-6,3-1,30-40",10/3,2/9
2,"4-6,3-2,0-0",4/1,1/6
2,"4-6,3-2,0-15",11/2,1/9
1,"4-6,3-2,0-30",7/1,1/12
2,"4-6,3-2,15-30",8/1,1/14
1,"4-6,3-2,15-40",8/1,1/14
1,"4-6,3-2,30-40",11/2,1/9
1,"4-6,3-2,40-40",5/1,1/8
2,"4-6,3-2,A-40",9/2,1/7
2,"4-6,3-2,40-40",5/1,1/8
1,"4-6,3-2,40-A",6/1,1/10
2,"4-6,3-2,40-40",5/1,1/8
1,"4-6,3-2,40-A",6/1,1/10
1,"4-6,3-2,40-40",5/1,1/8
2,"4-6,3-2,A-40",9/2,1/7
2,"4-6,3-2,40-40",5/1,1/8
2,"4-6,3-2,40-A",6/1,1/10
1,"4-6,3-3,0-0",6/1,1/10
1,"4-6,3-3,15-0",6/1,1/10
1,"4-6,3-3,30-0",11/2,1/9
2,"4-6,3-3,40-0",5/1,1/8
2,"4-6,3-3,40-15",11/2,1/9
1,"4-6,3-3,40-30",11/2,1/9
2,"4-6,4-3,0-0",5/1,1/8
2,"4-6,4-3,0-15",11/2,1/9
2,"4-6,4-3,0-30",11/2,1/9
2,"4-6,4-3,0-40",6/1,1/10
2,"4-6,4-4,0-0",6/1,1/10
1,"4-6,4-4,0-15",7/1,1/12
1,"4-6,4-4,15-15",6/1,1/10
1,"4-6,4-4,30-15",11/2,1/9
1,"4-6,4-4,40-15",5/1,1/8
1,"4-6,5-4,0-0",9/2,1/7
1,"4-6,5-4,15-0",4/1,1/6
1,"4-6,5-4,30-0",10/3,2/9
1,"4-6,5-4,40-0",5/2,3/10
1,"4-6,6-4,0-0,0-0",11/5,4/11
1,"4-6,6-4,0-0,15-0",13/8,1/2
2,"4-6,6-4,0-0,30-0",6/4,8/15
1,"4-6,6-4,0-0,30-15",13/8,1/2
2,"4-6,6-4,0-0,40-15",6/4,8/15
2,"4-6,6-4,0-0,40-30",13/8,1/2
1,"4-6,6-4,0-0,40-40",2/1,2/5
1,"4-6,6-4,0-0,A-40",7/4,4/9
2,"4-6,6-4,1-0,0-0",13/8,1/2
2,"4-6,6-4,1-0,0-15",7/4,4/9
1,"4-6,6-4,1-0,0-30",2/1,2/5
1,"4-6,6-4,1-0,15-30",7/4,4/9
1,"4-6,6-4,1-0,30-30",6/4,8/15
2,"4-6,6-4,1-0,40-30",6/5,4/6
1,"4-6,6-4,1-0,40-40",6/4,8/15
2,"4-6,6-4,1-0,A-40",6/5,4/6
2,"4-6,6-4,1-0,40-40",6/4,8/15
2,"4-6,6-4,1-0,40-A",13/8,1/2
1,"4-6,6-4,1-1,0-0",7/4,4/9
2,"4-6,6-4,1-1,15-0",13/8,1/2
1,"4-6,6-4,1-1,15-15",7/4,4/9
1,"4-6,6-4,1-1,30-15",13/8,1/2
1,"4-6,6-4,1-1,40-15",6/4,8/15
1,"4-6,6-4,2-1,0-0",11/8,4/7
1,"4-6,6-4,2-1,15-0",6/5,4/6
2,"4-6,6-4,2-1,30-0",1/1,4/5
2,"4-6,6-4,2-1,30-15",11/10,8/11
1,"4-6,6-4,2-1,30-30",13/10,8/13
2,"4-6,6-4,2-1,40-30",1/1,4/5
2,"4-6,6-4,2-1,40-40",13/10,8/13
2,"4-6,6-4,2-1,40-A",11/8,4/7
1,"4-6,6-4,2-2,0-0",13/8,1/2
1,"4-6,6-4,2-2,15-0",11/8,4/7
2,"4-6,6-4,2-2,30-0",13/10,8/13
1,"4-6,6-4,2-2,30-15",6/4,8/15
1,"4-6,6-4,2-2,40-15",13/10,8/13
2,"4-6,6-4,3-2,0-0",13/10,8/13
1,"4-6,6-4,3-2,0-15",11/8,4/7
2,"4-6,6-4,3-2,15-15",11/10,8/11
2,"4-6,6-4,3-2,15-30",6/5,4/6
1,"4-6,6-4,3-2,15-40",11/8,4/7
1,"4-6,6-4,3-2,30-40",6/5,4/6
1,"4-6,6-4,3-2,40-40",1/1,4/5
