,id,home_od,away_od,ss,add_time
148,42059362,1.615,2.300,"0-0,0-0",1643721033
147,42059368,1.571,2.375,"0-0,15-0",1643721037
143,42059401,1.444,2.750,"0-0,30-0",1643721073
141,42059413,1.400,3.000,"0-0,40-0",1643721090
139,42059440,1.444,2.750,"1-0,0-0",1643721120
138,42059506,1.400,3.000,"1-0,15-0",1643721193
137,42059538,1.444,2.750,"1-0,15-15",1643721232
136,42059567,1.500,2.625,"1-0,15-30",1643721266
135,42059622,1.444,2.750,"1-0,30-30",1643721334
134,42059660,1.500,2.625,"1-0,30-40",1643721383
132,42059708,1.333,3.400,"1-0,A-40",1643721445
129,42059754,1.333,3.400,"1-0,40-40",1643721502
128,42059763,1.400,3.000,"1-0,40-A",1643721510
127,42059789,1.444,2.750,"1-1,0-0",1643721539
126,42059827,1.400,3.000,"1-1,15-0",1643721589
125,42059871,1.500,2.625,"1-1,15-15",1643721644
124,42059891,1.615,2.300,"1-1,15-30",1643721675
123,42059926,1.727,2.100,"1-1,15-40",1643721711
121,42060075,1.800,2.000,"1-2,0-0",1643721862
120,42060095,1.727,2.100,"1-2,15-0",1643721879
119,42060116,1.800,2.000,"1-2,15-15",1643721911
118,42060156,1.909,1.909,"1-2,15-30",1643721950
116,42060230,1.909,1.909,"1-2,15-40",1643722018
115,42060244,2.000,1.800,"1-3,0-0",1643722029
114,42060280,2.100,1.727,"1-3,0-15",1643722075
110,42060398,2.100,1.727,"1-3,15-15",1643722183
109,42060401,2.200,1.666,"1-3,15-30",1643722185
108,42060404,2.100,1.727,"1-3,30-30",1643722191
107,42060426,2.000,1.800,"1-3,40-30",1643722223
106,42060455,1.909,1.909,"2-3,0-0",1643722258
105,42060554,2.000,1.800,"2-3,0-15",1643722386
104,42060597,2.100,1.727,"2-3,0-30",1643722431
103,42060626,2.200,1.666,"2-3,0-40",1643722463
102,42060654,2.300,1.615,"2-4,0-0",1643722494
101,42060686,2.200,1.666,"2-4,15-0",1643722534
100,42060706,2.375,1.571,"2-4,15-15",1643722552
99,42060745,2.625,1.500,"2-4,15-30",1643722597
98,42060804,2.375,1.571,"2-4,30-30",1643722650
97,42060842,2.750,1.444,"2-4,30-40",1643722686
94,42061006,3.200,1.363,"2-5,0-0",1643722838
93,42061011,3.400,1.333,"2-5,0-15",1643722844
92,42061040,3.200,1.363,"2-5,15-15",1643722871
91,42061059,3.400,1.333,"2-5,15-30",1643722900
90,42061087,3.200,1.363,"2-5,30-30",1643722948
89,42061122,3.400,1.333,"2-5,30-40",1643722995
88,42061149,3.000,1.400,"2-5,40-40",1643723032
86,42061192,3.000,1.400,"2-5,40-A",1643723076
85,42061210,3.400,1.333,"2-6,0-0,0-0",1643723108
84,42061369,3.750,1.285,"2-6,0-0,0-15",1643723305
83,42061376,4.333,1.222,"2-6,0-0,0-30",1643723318
82,42061408,4.000,1.250,"2-6,0-0,15-30",1643723344
81,42061421,3.500,1.300,"2-6,0-0,30-30",1643723361
80,42061455,4.333,1.222,"2-6,0-0,30-40",1643723401
77,42061530,3.200,1.363,"2-6,0-0,A-40",1643723476
76,42061560,3.750,1.285,"2-6,0-0,40-40",1643723510
74,42061607,4.500,1.200,"2-6,0-0,40-A",1643723577
73,42061619,5.500,1.142,"2-6,0-1,0-0",1643723590
72,42061674,6.500,1.111,"2-6,0-1,0-15",1643723664
71,42061705,5.500,1.142,"2-6,0-1,15-15",1643723693
70,42061741,4.500,1.200,"2-6,0-1,30-15",1643723738
68,42061819,5.000,1.166,"2-6,0-1,30-30",1643723801
67,42061835,4.333,1.222,"2-6,0-1,40-30",1643723821
66,42061871,5.000,1.166,"2-6,0-1,40-40",1643723866
65,42061899,4.333,1.222,"2-6,0-1,A-40",1643723902
64,42061942,3.400,1.333,"2-6,1-1,0-0",1643723947
63,42061967,4.000,1.250,"2-6,1-1,0-15",1643723983
62,42061987,4.500,1.200,"2-6,1-1,0-30",1643724002
61,42062014,4.000,1.250,"2-6,1-1,15-30",1643724039
60,42062038,5.000,1.166,"2-6,1-1,15-40",1643724071
58,42062152,5.500,1.142,"2-6,1-2,0-0",1643724220
57,42062161,5.000,1.166,"2-6,1-2,15-0",1643724238
56,42062177,5.500,1.142,"2-6,1-2,15-15",1643724270
53,42062245,6.500,1.111,"2-6,1-2,15-30",1643724351
52,42062253,8.000,1.083,"2-6,1-2,15-40",1643724355
51,42062278,9.000,1.071,"2-6,1-3,0-0",1643724377
50,42062301,8.000,1.083,"2-6,1-3,15-0",1643724405
49,42062317,7.000,1.100,"2-6,1-3,30-0",1643724423
48,42062341,6.500,1.111,"2-6,1-3,40-0",1643724452
47,42062368,6.000,1.125,"2-6,2-3,0-0",1643724483
44,42062473,7.000,1.100,"2-6,2-3,0-15",1643724636
43,42062475,9.000,1.071,"2-6,2-3,0-30",1643724639
42,42062508,7.000,1.100,"2-6,2-3,15-30",1643724665
41,42062563,6.000,1.125,"2-6,2-3,30-30",1643724711
40,42062598,7.000,1.100,"2-6,2-3,30-40",1643724753
39,42062670,8.000,1.083,"2-6,2-4,15-0",1643724837
38,42062684,10.000,1.062,"2-6,2-4,15-15",1643724858
34,42062723,-,-,"2-6,2-4,15-30",1643724916
33,42062731,10.000,1.062,"2-6,2-4,30-30",1643724929
31,42062780,9.000,1.071,"2-6,2-4,40-30",1643725013
30,42062795,10.000,1.062,"2-6,2-4,40-40",1643725036
26,42062838,-,-,"2-6,2-4,40-A",1643725101
23,42062903,-,-,"2-6,2-5,0-0",1643725206
22,42062909,26.000,1.010,"2-6,2-5,15-0",1643725215
21,42062933,21.000,1.015,"2-6,2-5,30-0",1643725250
20,42062963,23.000,1.012,"2-6,2-5,30-15",1643725281
19,42062996,19.000,1.020,"2-6,2-5,40-15",1643725322
18,42063020,15.000,1.030,"2-6,3-5,0-0",1643725366
17,42063049,13.000,1.040,"2-6,3-5,15-0",1643725417
16,42063070,11.000,1.050,"2-6,3-5,30-0",1643725451
168,308532319,6.500,1.111,"2-6,3-5,40-0",1643725500
167,308532372,7.000,1.100,"2-6,3-5,40-15",1643725575
13,42063211,-,-,"2-6,4-5,0-0",1643725716
11,42063231,-,-,"2-6,4-5,0-15",1643725751
8,42063260,-,-,"2-6,4-5,0-30",1643725797
6,42063276,-,-,"2-6,4-5,0-40",1643725827
2,42063308,-,-,"2-6,4-5,15-40",1643725886
0,42063344,-,-,"2-6,4-5,30-40",1643725939
