,id,home_od,away_od,ss,add_time
1984,367177763,3.400,1.300,"0-0,0-0",1737025568
1983,367177769,3.000,1.363,"0-0,15-0",1737025571
1076,101136097,6.000,1.125,"0-0,15-15",1737025682
1075,101136103,5.500,1.142,"0-0,30-30",1737025684
1973,367177958,3.250,1.333,"0-0,40-30",1737025699
1968,367178176,2.750,1.400,"1-0,0-0",1737025841
1073,101136347,5.500,1.142,"1-0,0-15",1737025849
1070,101136438,6.000,1.125,"1-0,0-30",1737025891
1067,101136507,5.500,1.142,"1-0,15-30",1737025910
1066,101136514,5.000,1.166,"1-0,30-30",1737025914
1062,101136632,6.000,1.125,"1-1,0-0",1737025982
1061,101136635,5.500,1.142,"1-0,30-40",1737025983
1060,101136717,5.000,1.166,"1-1,15-0",1737026042
1055,101136806,5.500,1.142,"1-1,15-15",1737026092
1048,101136993,6.000,1.125,"1-1,15-30",1737026166
1047,101137005,5.500,1.142,"1-1,30-30",1737026171
1044,101137110,5.500,1.142,"1-1,40-40",1737026221
1043,101137119,6.000,1.125,"1-1,30-40",1737026228
1039,101137253,6.000,1.125,"1-1,40-A",1737026297
1034,101137502,7.000,1.100,"1-2,0-0",1737026401
1033,101137508,8.000,1.083,"1-2,0-15",1737026403
1032,101137579,7.000,1.100,"1-2,15-15",1737026427
1029,101137653,6.500,1.111,"1-2,30-15",1737026480
1026,101137741,7.000,1.100,"1-2,30-30",1737026534
1025,101137744,8.000,1.083,"1-2,30-40",1737026537
1902,367179828,10.000,1.062,"1-3,0-0",1737026631
1020,101138007,9.000,1.071,"1-3,0-15",1737026667
1017,101138132,10.000,1.062,"1-3,0-30",1737026728
1016,101138144,9.000,1.071,"1-3,15-30",1737026735
1014,101138275,9.000,1.071,"1-3,30-30",1737026800
1009,101138365,8.000,1.083,"1-3,40-30",1737026846
997,101138597,10.000,1.062,"1-3,40-A",1737026942
994,101138745,9.000,1.071,"1-3,40-40",1737027015
993,101138751,8.000,1.083,"1-3,A-40",1737027018
991,101139076,8.000,1.083,"2-3,0-0",1737027169
989,101139206,8.000,1.083,"2-3,0-15",1737027231
987,101139213,8.000,1.083,"2-3,15-15",1737027233
984,101139340,6.500,1.111,"2-3,30-15",1737027288
981,101139408,6.000,1.125,"2-3,40-15",1737027315
977,101139601,6.000,1.125,"2-3,40-30",1737027396
974,101139660,5.000,1.166,"3-3,0-0",1737027430
964,101139737,5.500,1.142,"3-3,0-15",1737027477
959,101139900,6.000,1.125,"3-3,0-30",1737027553
955,101140085,6.000,1.125,"3-3,15-30",1737027620
954,101140088,5.500,1.142,"3-3,30-30",1737027622
949,101140368,5.000,1.166,"3-3,40-30",1737027740
944,101140562,4.500,1.200,"4-3,0-0",1737027829
943,101140575,5.000,1.166,"4-3,0-15",1737027834
940,101140668,4.500,1.200,"4-3,15-15",1737027859
939,101140685,5.000,1.166,"4-3,15-30",1737027864
1789,367183009,2.625,1.444,"4-3,15-40",1737027923
937,101140954,5.000,1.166,"4-3,30-40",1737027959
933,101141085,4.500,1.200,"4-3,40-A",1737028022
919,101141599,4.500,1.200,"4-3,40-40",1737028189
914,101141793,4.000,1.250,"4-3,A-40",1737028258
909,101141945,2.750,1.444,"5-3,0-0",1737028307
908,101141993,3.200,1.363,"5-3,15-0",1737028319
900,101142179,2.750,1.444,"5-3,30-0",1737028364
898,101142376,2.750,1.444,"5-3,40-0",1737028432
895,101142635,3.000,1.400,"6-3,0-0,0-0",1737028534
893,101142729,2.750,1.444,"6-3,0-0,0-15",1737028582
890,101142904,3.000,1.400,"6-3,0-0,15-30",1737028649
887,101143004,2.750,1.444,"6-3,0-0,15-15",1737028689
885,101143035,3.000,1.400,"6-3,0-0,15-40",1737028702
881,101143255,3.200,1.363,"6-3,0-1,0-0",1737028792
879,101143311,3.000,1.400,"6-3,0-1,15-0",1737028809
878,101143350,2.750,1.444,"6-3,0-1,30-0",1737028829
873,101143423,2.750,1.444,"6-3,0-1,30-15",1737028861
867,101143560,3.000,1.400,"6-3,0-1,40-15",1737028916
866,101143577,3.200,1.363,"6-3,0-1,40-30",1737028919
864,101143711,3.200,1.363,"6-3,0-1,A-40",1737028978
863,101143743,3.400,1.333,"6-3,0-1,40-40",1737028997
857,101143924,3.750,1.285,"6-3,0-1,40-A",1737029108
855,101144032,4.333,1.222,"6-3,0-2,0-0",1737029149
848,101144171,3.200,1.363,"6-3,0-2,15-0",1737029216
847,101144187,3.400,1.333,"6-3,0-2,30-0",1737029222
844,101144306,3.400,1.333,"6-3,0-2,40-0",1737029274
837,101144633,3.500,1.300,"6-3,0-2,40-15",1737029398
832,101144910,3.500,1.300,"6-3,1-2,0-15",1737029513
831,101144923,3.400,1.333,"6-3,1-2,0-0",1737029516
824,101145134,3.750,1.285,"6-3,1-2,0-30",1737029598
823,101145146,4.000,1.250,"6-3,1-2,15-40",1737029602
821,101145238,3.500,1.300,"6-3,1-2,15-30",1737029636
818,101145315,4.333,1.222,"6-3,1-3,0-0",1737029680
815,101145344,4.000,1.250,"6-3,1-3,15-0",1737029696
814,101145401,3.500,1.300,"6-3,1-3,30-0",1737029726
807,101145565,3.500,1.300,"6-3,1-3,40-0",1737029817
804,101145710,3.750,1.285,"6-3,1-3,40-15",1737029874
800,101145975,3.200,1.363,"6-3,2-3,0-0",1737029973
799,101145987,3.400,1.333,"6-3,2-3,0-15",1737029976
796,101146155,3.750,1.285,"6-3,2-3,0-30",1737030043
1625,367188785,6.500,1.111,"6-3,2-3,0-40",1737030047
793,101146183,3.400,1.333,"6-3,2-3,15-30",1737030060
788,101146269,3.200,1.363,"6-3,2-3,30-30",1737030118
787,101146272,2.750,1.444,"6-3,2-3,40-30",1737030121
785,101146394,2.750,1.444,"6-3,3-3,0-0",1737030179
782,101146422,3.000,1.400,"6-3,3-3,0-15",1737030194
781,101146437,2.750,1.444,"6-3,3-3,15-15",1737030203
778,101146633,3.000,1.400,"6-3,3-3,15-30",1737030276
774,101146730,-,-,"6-3,3-3,30-30",1737030317
770,101146765,2.300,1.615,"6-3,3-3,40-30",1737030344
759,101147132,2.000,1.800,"6-3,4-3,0-0",1737030508
757,101147143,2.200,1.666,"6-3,4-3,0-15",1737030510
753,101147208,2.625,1.500,"6-3,4-3,0-30",1737030528
749,101147303,2.750,1.444,"6-3,4-3,15-40",1737030556
748,101147352,2.500,1.533,"6-3,4-3,0-40",1737030581
746,101147453,2.500,1.533,"6-3,4-3,30-40",1737030634
743,101147502,3.000,1.400,"6-3,4-4,0-0",1737030665
742,101147520,3.200,1.363,"6-3,4-4,0-15",1737030677
738,101147601,3.000,1.400,"6-3,4-4,15-30",1737030712
735,101147713,3.400,1.333,"6-3,4-4,0-30",1737030743
729,101147824,3.750,1.285,"6-3,4-4,15-40",1737030783
