Score,Odds1,Odds2
"0-0,0-0",3/1,1/4
"0-0,15-0",11/4,2/7
"0-0,15-15",3/1,1/4
"0-0,15-30",10/3,2/9
"0-0,15-40",7/2,1/5
"0-0,30-40",10/3,2/9
"0-1,0-0",4/1,1/6
"0-1,0-15",4/1,1/6
"0-1,0-30",4/1,1/6
"0-1,0-40",9/2,1/7
"0-2,0-0",9/2,1/7
"0-2,15-0",4/1,1/6
"0-2,30-0",4/1,1/6
"0-2,40-0",4/1,1/6
"0-2,40-15",4/1,1/6
"0-2,40-30",9/2,1/7
"0-2,40-40",9/2,1/7
"0-2,40-A",5/1,1/8
"0-3,0-0",6/1,1/10
"0-3,0-15",6/1,1/10
"0-3,0-30",6/1,1/10
"0-3,15-30",6/1,1/10
"0-3,30-30",11/2,1/9
"0-3,30-40",6/1,1/10
"0-4,0-0",6/1,1/10
"0-4,0-15",7/1,1/12
"0-4,15-15",6/1,1/10
"0-4,30-15",6/1,1/10
"0-4,30-30",6/1,1/10
"0-4,30-40",7/1,1/12
"0-4,40-30",6/1,1/10
"0-4,40-40",6/1,1/10
"0-4,40-A",7/1,1/12
"0-5,0-0",8/1,1/14
"0-5,15-0",8/1,1/14
"0-5,15-15",9/1,1/16
"0-5,15-30",9/1,1/16
"0-5,30-30",8/1,1/14
"0-5,40-30",8/1,1/14
"0-5,40-40",8/1,1/14
"0-5,40-A",9/1,1/16
"0-6,0-0,0-0",10/1,1/20
"0-6,0-0,0-15",10/1,1/20
"0-6,0-0,0-30",12/1,1/25
"0-6,0-0,15-30",10/1,1/20
"0-6,0-0,15-40",12/1,1/25
"0-6,0-0,30-40",10/1,1/20
"0-6,0-1,0-0",12/1,1/25
"0-6,0-1,0-15",14/1,1/33
"0-6,0-1,0-30",14/1,1/33
"0-6,0-1,0-40",18/1,1/50
"0-6,0-1,15-40",14/1,1/33
"0-6,0-2,0-0",14/1,1/33
"0-6,0-2,15-0",14/1,1/33
"0-6,0-2,15-15",18/1,1/50
"0-6,0-2,30-15",14/1,1/33
"0-6,0-2,30-30",16/1,1/40
"0-6,0-2,30-40",18/1,1/50
"0-6,0-2,40-40",16/1,1/40
"0-6,0-2,A-40",14/1,1/33
"0-6,1-2,0-0",14/1,1/33
