PtWinner,Score,Odds1,Odds2
1,"0-0,0-0",1/12,7/1
2,"0-0,15-0",1/12,7/1
1,"0-0,15-15",1/12,7/1
2,"0-0,30-15",1/12,7/1
1,"0-0,30-30",1/10,6/1
1,"0-0,40-30",1/12,7/1
1,"1-0,0-0",1/12,7/1
1,"1-0,15-0",1/14,8/1
1,"1-0,30-0",1/16,9/1
1,"1-0,40-0",1/20,10/1
2,"2-0,0-0",1/25,12/1
1,"2-0,0-15",1/20,10/1
2,"2-0,15-15",1/20,10/1
1,"2-0,15-30",1/20,10/1
1,"2-0,30-30",1/20,10/1
1,"2-0,40-30",1/25,12/1
2,"3-0,0-0",1/25,12/1
2,"3-0,0-15",1/25,12/1
2,"3-0,0-30",1/20,10/1
1,"3-0,0-40",1/20,10/1
1,"3-0,15-40",1/20,10/1
2,"3-0,30-40",1/25,12/1
1,"3-1,0-0",1/20,10/1
1,"3-1,15-0",1/25,12/1
2,"3-1,30-0",1/25,12/1
2,"3-1,30-15",1/20,10/1
1,"3-1,30-30",1/20,10/1
1,"3-1,40-30",1/20,10/1
2,"4-1,0-0",1/25,12/1
2,"4-1,0-15",,
2,"4-1,0-30",1/20,10/1
1,"4-1,0-40",1/20,10/1
2,"4-1,15-40",1/20,10/1
1,"4-2,0-0",1/20,10/1
2,"4-2,15-0",1/20,10/1
1,"4-2,15-15",1/20,10/1
1,"4-2,30-15",1/20,10/1
1,"4-2,40-15",1/25,12/1
2,"5-2,0-0",1/25,12/1
2,"5-2,0-15",1/20,10/1
1,"5-2,0-30",1/20,10/1
2,"5-2,15-30",1/25,12/1
2,"5-2,15-40",1/20,10/1
1,"5-3,0-0",1/20,10/1
1,"5-3,15-0",1/20,10/1
1,"5-3,30-0",1/25,12/1
1,"5-3,40-0",1/25,12/1
2,"6-3,0-0,0-0",1/25,12/1
2,"6-3,0-0,0-15",1/25,12/1
2,"6-3,0-0,0-30",1/20,10/1
1,"6-3,0-0,0-40",1/20,10/1
1,"6-3,0-0,15-40",1/20,10/1
2,"6-3,0-0,30-40",1/25,12/1
1,"6-3,0-1,0-0",1/20,10/1
1,"6-3,0-1,15-0",1/25,12/1
2,"6-3,0-1,30-0",1/25,12/1
1,"6-3,0-1,30-15",1/25,12/1
1,"6-3,0-1,40-15",1/25,12/1
1,"6-3,1-1,0-0",1/25,12/1
2,"6-3,1-1,15-0",1/33,14/1
2,"6-3,1-1,15-15",1/25,12/1
2,"6-3,1-1,15-30",1/25,12/1
1,"6-3,1-1,15-40",1/20,10/1
1,"6-3,1-1,30-40",1/25,12/1
2,"6-3,1-1,40-40",1/25,12/1
2,"6-3,1-1,40-A",1/25,12/1
1,"6-3,1-2,0-0",1/20,10/1
1,"6-3,1-2,15-0",1/25,12/1
1,"6-3,1-2,30-0",1/25,12/1
1,"6-3,1-2,40-0",1/25,12/1
2,"6-3,2-2,0-0",1/25,12/1
2,"6-3,2-2,0-15",1/25,12/1
1,"6-3,2-2,0-30",1/25,12/1
1,"6-3,2-2,15-30",1/25,12/1
1,"6-3,2-2,30-30",1/33,14/1
2,"6-3,2-2,40-30",1/40,16/1
1,"6-3,2-2,40-40",1/33,14/1
2,"6-3,2-2,A-40",1/40,16/1
2,"6-3,2-2,40-40",1/33,14/1
2,"6-3,2-2,40-A",1/25,12/1
2,"6-3,2-3,0-0",1/25,12/1
1,"6-3,2-3,0-15",1/20,10/1
1,"6-3,2-3,15-15",1/20,10/1
1,"6-3,2-3,30-15",1/25,12/1
1,"6-3,2-3,40-15",1/25,12/1
